id,usuario,nombre,apellido,email,password,tema,status,creacion,id,id_alumno,id_aplicacion,carrera,promedio_anterior,semestre,materias,transporte,familiares,trabajo,beca,sexo,edad,estado_civil
2529,est18_135947555256,Estudiante18,Hibrido18,estudiante18@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,803,2529,3,ISC,71.6,1,5,0,0,0,0,F,27,Soltero
2530,est19_135947558280,Estudiante19,Hibrido19,estudiante19@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,804,2530,3,IINF,88.4,10,8,2,0,1,0,F,24,Soltero
2531,est20_135947560574,Estudiante20,Hibrido20,estudiante20@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,805,2531,3,IGE,87.9,1,7,0,0,0,1,F,24,Soltero
2532,est21_135947561586,Estudiante21,Hibrido21,estudiante21@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,806,2532,3,ISC,73.8,3,7,2,0,0,0,F,18,Soltero
2533,est22_135947563629,Estudiante22,Hibrido22,estudiante22@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,807,2533,3,ICD,71.0,7,5,0,0,1,0,F,26,Soltero
2534,est23_135947564653,Estudiante23,Hibrido23,estudiante23@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,808,2534,3,ICD,89.2,4,6,3,0,1,0,F,27,Soltero
2535,est24_135947566701,Estudiante24,Hibrido24,estudiante24@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,809,2535,3,IINF,82.0,4,7,3,0,0,1,M,25,Casado
2536,est25_135947567716,Estudiante25,Hibrido25,estudiante25@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,810,2536,3,ISC,91.0,2,6,1,0,0,0,M,28,Soltero
2537,est26_135947568737,Estudiante26,Hibrido26,estudiante26@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,811,2537,3,IGE,78.8,3,7,3,0,0,1,M,19,Soltero
2538,est27_135947569760,Estudiante27,Hibrido27,estudiante27@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,812,2538,3,IGE,81.0,3,7,2,0,1,0,F,25,Soltero
2539,est28_135947571807,Estudiante28,Hibrido28,estudiante28@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,813,2539,3,ISC,80.2,10,4,1,0,0,0,M,25,Soltero
2540,est29_135947572982,Estudiante29,Hibrido29,estudiante29@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,814,2540,3,IGE,94.9,9,7,2,0,0,0,M,18,Casado
2541,est30_135947575208,Estudiante30,Hibrido30,estudiante30@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,815,2541,3,IINF,92.7,9,6,3,0,0,0,F,23,Soltero
2542,est31_135947577246,Estudiante31,Hibrido31,estudiante31@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,816,2542,3,IINF,86.5,2,6,0,0,0,0,M,25,Soltero
2543,est32_135947578271,Estudiante32,Hibrido32,estudiante32@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,817,2543,3,IGE,80.2,4,6,0,0,1,1,M,22,Soltero
2544,est33_135947579297,Estudiante33,Hibrido33,estudiante33@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,818,2544,3,IGE,84.9,7,8,2,0,0,0,F,27,Soltero
2545,est34_135947581348,Estudiante34,Hibrido34,estudiante34@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,819,2545,3,IINF,86.3,10,4,2,0,0,0,F,18,Soltero
2546,est35_135947582357,Estudiante35,Hibrido35,estudiante35@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,820,2546,3,ISC,93.2,5,5,2,0,0,1,M,26,Soltero
2547,est36_135947584454,Estudiante36,Hibrido36,estudiante36@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,821,2547,3,ICD,77.9,1,6,1,0,0,0,M,20,Soltero
2548,est37_135947585490,Estudiante37,Hibrido37,estudiante37@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,822,2548,3,ISC,82.5,4,4,2,0,0,1,F,23,Soltero
2549,est38_135947586514,Estudiante38,Hibrido38,estudiante38@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,823,2549,3,ISC,91.9,8,6,1,0,0,0,F,19,Soltero
2550,est39_135947588020,Estudiante39,Hibrido39,estudiante39@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,824,2550,3,IGE,86.8,3,8,2,0,0,0,F,20,Soltero
2551,est40_135947590516,Estudiante40,Hibrido40,estudiante40@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,825,2551,3,ISC,85.3,5,5,0,0,0,0,F,28,Soltero
2552,est41_135947592553,Estudiante41,Hibrido41,estudiante41@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,826,2552,3,ISC,84.9,7,4,1,0,0,0,M,20,Soltero
2553,est42_135947593569,Estudiante42,Hibrido42,estudiante42@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,827,2553,3,IINF,85.2,4,4,0,0,0,0,M,23,Soltero
2554,est43_135947594590,Estudiante43,Hibrido43,estudiante43@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,828,2554,3,ICD,73.9,3,4,3,0,0,0,M,21,Soltero
2555,est44_135947595613,Estudiante44,Hibrido44,estudiante44@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,829,2555,3,ISC,79.2,9,4,0,0,0,0,F,23,Soltero
2556,est45_135947596637,Estudiante45,Hibrido45,estudiante45@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,830,2556,3,IINF,74.7,2,7,0,0,0,0,F,21,Soltero
2557,est46_135947597661,Estudiante46,Hibrido46,estudiante46@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,831,2557,3,ICD,80.0,9,7,1,0,1,0,M,21,Soltero
2558,est47_135947599714,Estudiante47,Hibrido47,estudiante47@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,832,2558,3,IINF,80.1,2,8,3,0,1,0,F,23,Casado
2559,est48_135947600738,Estudiante48,Hibrido48,estudiante48@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,833,2559,3,IGE,75.3,7,8,3,0,1,0,M,28,Casado
2560,est49_135947601762,Estudiante49,Hibrido49,estudiante49@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,834,2560,3,IINF,92.1,10,6,3,0,0,0,M,19,Soltero
2561,est50_135947602808,Estudiante50,Hibrido50,estudiante50@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,835,2561,3,ISC,85.2,2,6,0,0,0,0,M,28,Soltero
2562,est51_135947603831,Estudiante51,Hibrido51,estudiante51@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,836,2562,3,ISC,92.6,3,5,3,0,0,0,M,26,Soltero
2563,est52_135947606054,Estudiante52,Hibrido52,estudiante52@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,837,2563,3,IGE,71.1,8,8,3,0,0,0,F,18,Soltero
2564,est53_135947607071,Estudiante53,Hibrido53,estudiante53@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,838,2564,3,ISC,73.5,6,6,0,0,1,0,F,25,Soltero
2565,est54_135947609109,Estudiante54,Hibrido54,estudiante54@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,839,2565,3,ICD,74.4,7,7,1,0,0,0,M,20,Soltero
2566,est55_135947610132,Estudiante55,Hibrido55,estudiante55@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,840,2566,3,ISC,88.2,8,4,1,0,0,0,F,20,Soltero
2567,est56_135947611155,Estudiante56,Hibrido56,estudiante56@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,841,2567,3,IINF,91.7,5,7,1,0,0,0,M,25,Soltero
2568,est57_135947612178,Estudiante57,Hibrido57,estudiante57@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,842,2568,3,IINF,91.3,5,6,3,0,1,0,F,28,Soltero
2569,est58_135947614224,Estudiante58,Hibrido58,estudiante58@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,843,2569,3,ISC,70.7,3,7,1,0,1,1,M,26,Soltero
2570,est59_135947615248,Estudiante59,Hibrido59,estudiante59@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,844,2570,3,ICD,94.8,7,5,3,0,0,0,M,18,Soltero
2571,est60_135947616271,Estudiante60,Hibrido60,estudiante60@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,845,2571,3,ISC,70.4,5,8,3,0,0,0,M,19,Casado
2572,est61_135947617317,Estudiante61,Hibrido61,estudiante61@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,846,2572,3,ICD,70.5,2,7,3,0,0,0,M,25,Casado
2573,est62_135947618340,Estudiante62,Hibrido62,estudiante62@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,847,2573,3,ISC,76.4,10,5,0,0,0,0,F,20,Soltero
2574,est63_135947619364,Estudiante63,Hibrido63,estudiante63@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,848,2574,3,IGE,80.8,8,6,2,0,0,1,F,22,Soltero
2575,est64_135947621509,Estudiante64,Hibrido64,estudiante64@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,849,2575,3,ICD,73.4,5,6,2,0,1,0,F,19,Soltero
2576,est65_135947622525,Estudiante65,Hibrido65,estudiante65@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,850,2576,3,ICD,76.5,7,6,1,0,0,0,F,19,Soltero
2577,est66_135947623538,Estudiante66,Hibrido66,estudiante66@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,851,2577,3,IGE,93.1,5,8,2,0,0,0,M,20,Casado
2578,est67_135947625677,Estudiante67,Hibrido67,estudiante67@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,852,2578,3,IGE,73.3,5,4,3,0,1,0,M,20,Casado
2579,est68_135947626766,Estudiante68,Hibrido68,estudiante68@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,853,2579,3,ISC,88.2,10,4,2,0,0,0,F,28,Soltero
2580,est69_135947629799,Estudiante69,Hibrido69,estudiante69@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,854,2580,3,IINF,94.0,2,6,3,0,0,0,F,24,Casado
2581,est70_135947630800,Estudiante70,Hibrido70,estudiante70@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,855,2581,3,IINF,71.5,4,8,3,0,0,0,M,20,Soltero
2582,est71_135947631985,Estudiante71,Hibrido71,estudiante71@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,856,2582,3,IGE,72.7,8,5,1,0,0,0,M,21,Casado
2583,est72_135947633006,Estudiante72,Hibrido72,estudiante72@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,857,2583,3,ICD,72.1,2,8,3,0,0,0,M,19,Soltero
2584,est73_135947635007,Estudiante73,Hibrido73,estudiante73@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,858,2584,3,ISC,80.3,1,8,1,0,1,0,M,27,Soltero
2585,est74_135947636401,Estudiante74,Hibrido74,estudiante74@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,859,2585,3,IINF,72.1,8,7,3,0,0,0,F,26,Soltero
2586,est75_135947637475,Estudiante75,Hibrido75,estudiante75@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,860,2586,3,ICD,92.8,8,7,0,0,1,0,F,21,Soltero
2587,est76_135947639509,Estudiante76,Hibrido76,estudiante76@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,861,2587,3,ISC,92.1,10,5,1,0,0,0,M,20,Soltero
2588,est77_135947640525,Estudiante77,Hibrido77,estudiante77@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,862,2588,3,ISC,86.2,7,4,0,0,1,0,M,24,Casado
2589,est78_135947641546,Estudiante78,Hibrido78,estudiante78@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,863,2589,3,IGE,85.4,2,8,1,0,0,0,F,18,Soltero
2590,est79_135947642569,Estudiante79,Hibrido79,estudiante79@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,864,2590,3,ISC,72.3,9,5,0,0,0,0,M,23,Casado
2591,est80_135947643693,Estudiante80,Hibrido80,estudiante80@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,865,2591,3,IGE,88.9,10,6,2,0,0,0,F,24,Soltero
2592,est81_135947644858,Estudiante81,Hibrido81,estudiante81@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,866,2592,3,IINF,75.3,4,8,3,0,1,0,F,25,Casado
2593,est82_135947646907,Estudiante82,Hibrido82,estudiante82@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,867,2593,3,ISC,79.6,6,4,1,0,0,0,F,22,Soltero
2594,est83_135947647931,Estudiante83,Hibrido83,estudiante83@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,868,2594,3,ISC,88.5,5,8,3,0,1,1,F,21,Casado
2595,est84_135947648954,Estudiante84,Hibrido84,estudiante84@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,869,2595,3,ICD,73.7,10,8,2,0,1,0,F,25,Soltero
2596,est85_135947649970,Estudiante85,Hibrido85,estudiante85@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,870,2596,3,IGE,86.8,5,5,2,0,1,0,F,26,Soltero
2597,est86_135947652031,Estudiante86,Hibrido86,estudiante86@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,871,2597,3,ISC,86.4,6,7,1,0,0,0,F,19,Soltero
2598,est87_135947653333,Estudiante87,Hibrido87,estudiante87@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,872,2598,3,ICD,87.4,5,6,3,0,0,1,M,25,Soltero
2599,est88_135947654358,Estudiante88,Hibrido88,estudiante88@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,873,2599,3,ISC,93.3,2,7,0,0,0,1,F,18,Soltero
2600,est89_135947656406,Estudiante89,Hibrido89,estudiante89@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,874,2600,3,IGE,93.0,2,4,0,0,1,1,F,19,Soltero
2601,est90_135947657433,Estudiante90,Hibrido90,estudiante90@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,875,2601,3,ISC,79.2,9,7,0,0,1,0,M,20,Soltero
2602,est91_135947658458,Estudiante91,Hibrido91,estudiante91@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,876,2602,3,ICD,82.9,10,7,1,0,0,0,F,28,Casado
2603,est92_135947659483,Estudiante92,Hibrido92,estudiante92@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,877,2603,3,IGE,84.3,8,5,2,0,0,0,M,26,Casado
2604,est93_135947661542,Estudiante93,Hibrido93,estudiante93@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,878,2604,3,ICD,79.9,10,8,3,0,0,0,F,28,Soltero
2605,est94_135947662588,Estudiante94,Hibrido94,estudiante94@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,879,2605,3,IINF,83.7,2,6,1,0,0,1,M,21,Soltero
2606,est95_135947663611,Estudiante95,Hibrido95,estudiante95@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,880,2606,3,IINF,86.1,9,8,0,0,0,1,F,26,Soltero
2607,est96_135947665658,Estudiante96,Hibrido96,estudiante96@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,881,2607,3,ICD,72.1,2,7,0,0,0,0,F,19,Soltero
2608,est97_135947666681,Estudiante97,Hibrido97,estudiante97@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,882,2608,3,ISC,82.8,3,4,1,0,0,0,M,23,Soltero
2609,est98_135947667697,Estudiante98,Hibrido98,estudiante98@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,883,2609,3,IGE,83.8,5,8,0,0,0,0,M,21,Casado
2610,est99_135947670091,Estudiante99,Hibrido99,estudiante99@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,884,2610,3,ISC,83.8,10,7,1,0,0,0,M,27,Soltero
2611,est100_135947671114,Estudiante100,Hibrido100,estudiante100@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,885,2611,3,IGE,86.0,2,7,0,0,1,0,M,24,Soltero
2612,est101_135947672140,Estudiante101,Hibrido101,estudiante101@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,886,2612,3,IGE,84.3,10,6,1,0,1,1,F,21,Casado
2613,est102_135947674200,Estudiante102,Hibrido102,estudiante102@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,887,2613,3,ICD,81.2,2,6,1,0,1,0,M,19,Soltero
2614,est103_135947675221,Estudiante103,Hibrido103,estudiante103@hibrido.anxitech.com,$2y$10$abcdefghijklmnopqrstuvwxyz1234567890ABCDEFGH,light,1,2026-02-03 13:59:47,888,2614,3,IGE,78.6,5,8,2,0,1,0,F,27,Casado
