id,usuario,nombre,apellido,email,nocontrol,fechan,sexo,estadoc,ciudad,carrera,promedio_anterior,semestre,materias,transporte,familiares,trabajo,beca
2061,alumno50_220323467524,Alumno50,Test50,alumno50_34812@test.com,20201004,1998-02-04,M,Soltero,Orizaba,ISC,85.2,2,6,0,0,0,0
2062,alumno51_220323468545,Alumno51,Test51,alumno51_49549@test.com,20201005,2000-02-04,M,Soltero,Orizaba,ISC,92.6,3,5,3,0,0,0
2063,alumno52_220323469568,Alumno52,Test52,alumno52_98461@test.com,20201005,2008-02-02,F,Soltero,Orizaba,IGE,71.1,8,8,3,0,0,0
2064,alumno53_220323471969,Alumno53,Test53,alumno53_90777@test.com,20201005,2001-02-03,F,Soltero,Orizaba,ISC,73.5,6,6,0,1,1,0
2065,alumno54_220323473991,Alumno54,Test54,alumno54_15880@test.com,20201005,2006-02-02,M,Soltero,Orizaba,ICD,74.4,7,7,1,2,0,0
2066,alumno55_220323475000,Alumno55,Test55,alumno55_73452@test.com,20201005,2006-02-02,F,Soltero,Orizaba,ISC,88.2,8,4,1,3,0,0
2067,alumno56_220323476004,Alumno56,Test56,alumno56_28191@test.com,20201005,2001-02-03,M,Soltero,Orizaba,IINF,91.7,5,7,1,3,0,0
2068,alumno57_220323477044,Alumno57,Test57,alumno57_94124@test.com,20201005,1998-02-04,F,Soltero,Orizaba,IINF,91.3,5,6,3,3,1,0
2069,alumno58_220323478062,Alumno58,Test58,alumno58_69115@test.com,20201005,2000-02-04,M,Soltero,Orizaba,ISC,70.7,3,7,1,2,1,1
2070,alumno59_220323479078,Alumno59,Test59,alumno59_25057@test.com,20201005,2008-02-02,M,Soltero,Orizaba,ICD,94.8,7,5,3,3,0,0
2071,alumno60_220323480110,Alumno60,Test60,alumno60_51559@test.com,20201005,2007-02-02,M,Casado,Orizaba,ISC,70.4,5,8,3,2,0,0
2072,alumno61_220323481126,Alumno61,Test61,alumno61_23468@test.com,20201006,2001-02-03,M,Casado,Orizaba,ICD,70.5,2,7,3,1,0,0
2073,alumno62_220323481126,Alumno62,Test62,alumno62_47748@test.com,20201006,2006-02-02,F,Soltero,Orizaba,ISC,76.4,10,5,0,1,0,0
2074,alumno63_220323482150,Alumno63,Test63,alumno63_84024@test.com,20201006,2004-02-03,F,Soltero,Orizaba,IGE,80.8,8,6,2,3,0,1
2075,alumno64_220323483193,Alumno64,Test64,alumno64_33610@test.com,20201006,2007-02-02,F,Soltero,Orizaba,ICD,73.4,5,6,2,1,1,0
2076,alumno65_220323484197,Alumno65,Test65,alumno65_56259@test.com,20201006,2007-02-02,F,Soltero,Orizaba,ICD,76.5,7,6,1,3,0,0
2077,alumno66_220323485239,Alumno66,Test66,alumno66_19010@test.com,20201006,2006-02-02,M,Casado,Orizaba,IGE,93.1,5,8,2,0,0,0
2078,alumno67_220323488334,Alumno67,Test67,alumno67_96643@test.com,20201006,2006-02-02,M,Casado,Orizaba,IGE,73.3,5,4,3,2,1,0
2079,alumno68_220323489342,Alumno68,Test68,alumno68_30140@test.com,20201006,1998-02-04,F,Soltero,Orizaba,ISC,88.2,10,4,2,0,0,0
2080,alumno69_220323490351,Alumno69,Test69,alumno69_53388@test.com,20201006,2002-02-03,F,Casado,Orizaba,IINF,94.0,2,6,3,3,0,0
2081,alumno70_220323492367,Alumno70,Test70,alumno70_72758@test.com,20201006,2006-02-02,M,Soltero,Orizaba,IINF,71.5,4,8,3,0,0,0
2082,alumno71_220323493539,Alumno71,Test71,alumno71_76263@test.com,20201007,2005-02-02,M,Casado,Orizaba,IGE,72.7,8,5,1,3,0,0
2083,alumno72_220323494557,Alumno72,Test72,alumno72_94457@test.com,20201007,2007-02-02,M,Soltero,Orizaba,ICD,72.1,2,8,3,0,0,0
2084,alumno73_220323495561,Alumno73,Test73,alumno73_87841@test.com,20201007,1999-02-04,M,Soltero,Orizaba,ISC,80.3,1,8,1,0,1,0
2085,alumno74_220323496570,Alumno74,Test74,alumno74_81106@test.com,20201007,2000-02-04,F,Soltero,Orizaba,IINF,72.1,8,7,3,2,0,0
2086,alumno75_220323497590,Alumno75,Test75,alumno75_91597@test.com,20201007,2005-02-02,F,Soltero,Orizaba,ICD,92.8,8,7,0,3,1,0
2087,alumno76_220323497590,Alumno76,Test76,alumno76_52821@test.com,20201007,2006-02-02,M,Soltero,Orizaba,ISC,92.1,10,5,1,3,0,0
2088,alumno77_220323499623,Alumno77,Test77,alumno77_27280@test.com,20201007,2002-02-03,M,Casado,Orizaba,ISC,86.2,7,4,0,1,1,0
2089,alumno78_220323500628,Alumno78,Test78,alumno78_62766@test.com,20201007,2008-02-02,F,Soltero,Orizaba,IGE,85.4,2,8,1,2,0,0
2090,alumno79_220323502848,Alumno79,Test79,alumno79_61963@test.com,20201007,2003-02-03,M,Casado,Orizaba,ISC,72.3,9,5,0,3,0,0
2091,alumno80_220323503854,Alumno80,Test80,alumno80_51960@test.com,20201007,2002-02-03,F,Soltero,Orizaba,IGE,88.9,10,6,2,2,0,0
2092,alumno81_220323505178,Alumno81,Test81,alumno81_83395@test.com,20201008,2001-02-03,F,Casado,Orizaba,IINF,75.3,4,8,3,3,1,0
2093,alumno82_220323507223,Alumno82,Test82,alumno82_94933@test.com,20201008,2004-02-03,F,Soltero,Orizaba,ISC,79.6,6,4,1,0,0,0
2094,alumno83_220323508229,Alumno83,Test83,alumno83_22377@test.com,20201008,2005-02-02,F,Casado,Orizaba,ISC,88.5,5,8,3,3,1,1
2095,alumno84_220323509248,Alumno84,Test84,alumno84_52633@test.com,20201008,2001-02-03,F,Soltero,Orizaba,ICD,73.7,10,8,2,0,1,0
2096,alumno85_220323509248,Alumno85,Test85,alumno85_24198@test.com,20201008,2000-02-04,F,Soltero,Orizaba,IGE,86.8,5,5,2,3,1,0
2097,alumno86_220323510279,Alumno86,Test86,alumno86_90597@test.com,20201008,2007-02-02,F,Soltero,Orizaba,ISC,86.4,6,7,1,0,0,0
2098,alumno87_220323511284,Alumno87,Test87,alumno87_31045@test.com,20201008,2001-02-03,M,Soltero,Orizaba,ICD,87.4,5,6,3,3,0,1
2099,alumno88_220323512288,Alumno88,Test88,alumno88_62526@test.com,20201008,2008-02-02,F,Soltero,Orizaba,ISC,93.3,2,7,0,2,0,1
2100,alumno89_220323513316,Alumno89,Test89,alumno89_55419@test.com,20201008,2007-02-02,F,Soltero,Orizaba,IGE,93.0,2,4,0,1,1,1
2101,alumno90_220323514322,Alumno90,Test90,alumno90_38300@test.com,20201008,2006-02-02,M,Soltero,Orizaba,ISC,79.2,9,7,0,3,1,0
2102,alumno91_220323515326,Alumno91,Test91,alumno91_36467@test.com,20201009,1998-02-04,F,Casado,Orizaba,ICD,82.9,10,7,1,3,0,0
2103,alumno92_220323516354,Alumno92,Test92,alumno92_28004@test.com,20201009,2000-02-04,M,Casado,Orizaba,IGE,84.3,8,5,2,2,0,0
2104,alumno93_220323517355,Alumno93,Test93,alumno93_74724@test.com,20201009,1998-02-04,F,Soltero,Orizaba,ICD,79.9,10,8,3,2,0,0
2105,alumno94_220323519822,Alumno94,Test94,alumno94_85864@test.com,20201009,2005-02-02,M,Soltero,Orizaba,IINF,83.7,2,6,1,1,0,1
2106,alumno95_220323520871,Alumno95,Test95,alumno95_67191@test.com,20201009,2000-02-04,F,Soltero,Orizaba,IINF,86.1,9,8,0,1,0,1
2107,alumno96_220323522984,Alumno96,Test96,alumno96_16743@test.com,20201009,2007-02-02,F,Soltero,Orizaba,ICD,72.1,2,7,0,0,0,0
2108,alumno97_220323524020,Alumno97,Test97,alumno97_43604@test.com,20201009,2003-02-03,M,Soltero,Orizaba,ISC,82.8,3,4,1,0,0,0
2109,alumno98_220323525247,Alumno98,Test98,alumno98_39368@test.com,20201009,2005-02-02,M,Casado,Orizaba,IGE,83.8,5,8,0,3,0,0
2110,alumno99_220323527312,Alumno99,Test99,alumno99_14406@test.com,20201009,1999-02-04,M,Soltero,Orizaba,ISC,83.8,10,7,1,0,0,0
2111,alumno100_220323528317,Alumno100,Test100,alumno100_15832@test.com,20201009,2002-02-03,M,Soltero,Orizaba,IGE,86.0,2,7,0,1,1,0
2112,alumno101_220323529349,Alumno101,Test101,alumno101_95135@test.com,20211010,2005-02-02,F,Casado,Orizaba,IGE,84.3,10,6,1,3,1,1
2113,alumno102_220323530458,Alumno102,Test102,alumno102_73155@test.com,20211010,2007-02-02,M,Soltero,Orizaba,ICD,81.2,2,6,1,2,1,0
2114,alumno103_220323531464,Alumno103,Test103,alumno103_11457@test.com,20211010,1999-02-04,F,Casado,Orizaba,IGE,78.6,5,8,2,3,1,0
2115,alumno104_220323533592,Alumno104,Test104,alumno104_36626@test.com,20211010,2005-02-02,F,Soltero,Orizaba,IINF,86.0,6,5,0,0,1,0
2116,alumno105_220323533592,Alumno105,Test105,alumno105_65358@test.com,20211010,2006-02-02,F,Soltero,Orizaba,ICD,94.9,5,4,0,0,0,1
2117,alumno106_220323534591,Alumno106,Test106,alumno106_66841@test.com,20211010,1998-02-04,M,Soltero,Orizaba,ICD,71.3,9,7,3,3,1,0
2118,alumno107_220323536592,Alumno107,Test107,alumno107_52336@test.com,20211010,2008-02-02,F,Soltero,Orizaba,IINF,94.6,9,5,2,3,0,0
2119,alumno108_220323537593,Alumno108,Test108,alumno108_68850@test.com,20211010,2005-02-02,M,Soltero,Orizaba,IGE,83.9,9,7,1,2,0,0
2120,alumno109_220323538594,Alumno109,Test109,alumno109_77014@test.com,20211010,2005-02-02,M,Soltero,Orizaba,IGE,92.3,6,5,1,1,0,0
2121,alumno110_220323539593,Alumno110,Test110,alumno110_32282@test.com,20211010,1998-02-04,M,Casado,Orizaba,ISC,76.6,5,7,0,2,1,0
2122,alumno111_220323539593,Alumno111,Test111,alumno111_43322@test.com,20211011,2005-02-02,M,Soltero,Orizaba,ISC,70.2,3,7,2,0,0,0
2123,alumno112_220323541002,Alumno112,Test112,alumno112_50967@test.com,20211011,2001-02-03,M,Soltero,Orizaba,ICD,87.8,9,4,2,3,1,0
2124,alumno113_220323542039,Alumno113,Test113,alumno113_52333@test.com,20211011,2003-02-03,M,Casado,Orizaba,IGE,81.2,1,5,2,2,0,0
2125,alumno114_220323543097,Alumno114,Test114,alumno114_74827@test.com,20211011,2007-02-02,M,Casado,Orizaba,IGE,86.9,8,6,1,3,1,0
2126,alumno115_220323545175,Alumno115,Test115,alumno115_10810@test.com,20211011,1999-02-04,F,Soltero,Orizaba,IGE,81.2,9,4,2,1,1,0
2127,alumno116_220323546223,Alumno116,Test116,alumno116_61892@test.com,20211011,2007-02-02,F,Soltero,Orizaba,ICD,70.8,8,8,3,0,0,0
2128,alumno117_220323548516,Alumno117,Test117,alumno117_26476@test.com,20211011,2007-02-02,F,Soltero,Orizaba,ICD,75.1,10,5,3,2,0,1
2129,alumno118_220323550514,Alumno118,Test118,alumno118_25339@test.com,20211011,2003-02-03,M,Soltero,Orizaba,IINF,73.7,3,4,1,0,0,0
2130,alumno119_220323552519,Alumno119,Test119,alumno119_29288@test.com,20211011,1998-02-04,F,Soltero,Orizaba,ISC,70.8,8,8,3,3,0,0
2131,alumno120_220323553517,Alumno120,Test120,alumno120_31374@test.com,20211011,1998-02-04,F,Soltero,Orizaba,ISC,78.6,1,4,3,2,1,0
2132,alumno121_220323556954,Alumno121,Test121,alumno121_73804@test.com,20211012,2002-02-03,M,Soltero,Orizaba,ISC,70.6,5,6,2,1,1,0
2133,alumno122_220323559241,Alumno122,Test122,alumno122_14331@test.com,20211012,1999-02-04,M,Soltero,Orizaba,IINF,72.6,5,6,0,0,0,0
2134,alumno123_220323561588,Alumno123,Test123,alumno123_88967@test.com,20211012,2006-02-02,M,Soltero,Orizaba,IINF,87.6,9,5,2,2,1,0
2135,alumno124_220323562798,Alumno124,Test124,alumno124_67980@test.com,20211012,2008-02-02,F,Soltero,Orizaba,ISC,72.7,9,8,2,0,0,0
2136,alumno125_220323564891,Alumno125,Test125,alumno125_55109@test.com,20211012,2005-02-02,M,Soltero,Orizaba,ISC,70.5,4,7,1,0,1,0
2137,alumno126_220323565891,Alumno126,Test126,alumno126_40216@test.com,20211012,2003-02-03,F,Soltero,Orizaba,IINF,72.5,1,8,1,3,0,0
2138,alumno127_220323566891,Alumno127,Test127,alumno127_75203@test.com,20211012,2004-02-03,M,Soltero,Orizaba,ICD,92.3,3,8,3,0,1,0
2139,alumno128_220323568892,Alumno128,Test128,alumno128_77408@test.com,20211012,2007-02-02,M,Casado,Orizaba,IINF,94.7,7,8,0,2,1,0
2140,alumno129_220323569891,Alumno129,Test129,alumno129_53094@test.com,20211012,1999-02-04,F,Casado,Orizaba,ISC,91.8,10,8,0,3,0,0
2141,alumno130_220323571117,Alumno130,Test130,alumno130_40109@test.com,20211012,2005-02-02,F,Soltero,Orizaba,IGE,90.2,10,5,0,0,1,1
2142,alumno131_220323573116,Alumno131,Test131,alumno131_87396@test.com,20211013,2002-02-03,M,Soltero,Orizaba,ISC,84.1,6,5,1,3,1,0
2143,alumno132_220323574249,Alumno132,Test132,alumno132_49264@test.com,20211013,2007-02-02,M,Soltero,Orizaba,ISC,88.7,10,6,3,2,1,0
2144,alumno133_220323575257,Alumno133,Test133,alumno133_46681@test.com,20211013,1999-02-04,M,Soltero,Orizaba,IINF,77.9,3,5,0,0,0,1
2145,alumno134_220323577289,Alumno134,Test134,alumno134_77555@test.com,20211013,2002-02-03,M,Soltero,Orizaba,IINF,74.5,8,5,3,0,0,0
2146,alumno135_220323578288,Alumno135,Test135,alumno135_97778@test.com,20211013,2005-02-02,M,Soltero,Orizaba,IINF,92.3,1,6,1,1,0,1
2147,alumno136_220323579290,Alumno136,Test136,alumno136_14345@test.com,20211013,2005-02-02,M,Soltero,Orizaba,IGE,82.6,8,4,0,1,0,0
2148,alumno137_220323581289,Alumno137,Test137,alumno137_32712@test.com,20211013,2003-02-03,F,Soltero,Orizaba,IGE,84.8,5,4,0,2,1,0
2149,alumno138_220323582292,Alumno138,Test138,alumno138_61226@test.com,20211013,2002-02-03,F,Soltero,Orizaba,IINF,88.2,10,8,2,3,0,0
2150,alumno139_220323582292,Alumno139,Test139,alumno139_11064@test.com,20211013,2004-02-03,F,Soltero,Orizaba,IGE,73.4,10,8,2,0,0,0
2151,alumno140_220323583644,Alumno140,Test140,alumno140_31328@test.com,20211013,2006-02-02,F,Soltero,Orizaba,ICD,79.2,4,7,2,3,0,1
2152,alumno141_220323584831,Alumno141,Test141,alumno141_30287@test.com,20211014,2004-02-03,M,Soltero,Orizaba,IGE,79.7,9,6,2,3,0,0
2153,alumno142_220323586845,Alumno142,Test142,alumno142_41962@test.com,20211014,2006-02-02,F,Soltero,Orizaba,ISC,87.6,4,6,1,1,0,1
2154,alumno143_220323587843,Alumno143,Test143,alumno143_81086@test.com,20211014,1999-02-04,M,Soltero,Orizaba,ICD,92.3,7,5,3,0,0,0
2155,alumno144_220323588844,Alumno144,Test144,alumno144_78226@test.com,20211014,1999-02-04,M,Casado,Orizaba,ISC,71.2,10,6,3,2,0,0
2156,alumno145_220323591303,Alumno145,Test145,alumno145_52792@test.com,20211014,2001-02-03,F,Soltero,Orizaba,IGE,85.0,10,6,0,2,0,1
2157,alumno146_220323592303,Alumno146,Test146,alumno146_76321@test.com,20211014,2001-02-03,F,Soltero,Orizaba,IGE,90.6,9,4,2,2,0,0
2158,alumno147_220323594305,Alumno147,Test147,alumno147_17212@test.com,20211014,2000-02-04,F,Casado,Orizaba,ICD,75.1,4,4,2,3,1,0
2159,alumno148_220323596643,Alumno148,Test148,alumno148_32616@test.com,20211014,2007-02-02,M,Casado,Orizaba,IINF,94.0,1,6,2,1,0,0
2160,alumno149_220323599756,Alumno149,Test149,alumno149_96045@test.com,20211014,2000-02-04,M,Casado,Orizaba,IINF,70.3,1,4,0,0,0,0
2161,alumno150_220323600765,Alumno150,Test150,alumno150_31717@test.com,20211014,2000-02-04,F,Soltero,Orizaba,IGE,94.2,10,7,0,1,1,0
2162,alumno151_220323601771,Alumno151,Test151,alumno151_63218@test.com,20211015,2005-02-02,M,Casado,Orizaba,IGE,83.7,3,5,3,3,1,0
2163,alumno152_220323603789,Alumno152,Test152,alumno152_33727@test.com,20211015,1998-02-04,M,Soltero,Orizaba,IINF,84.0,2,4,3,0,1,1
2164,alumno153_220323604796,Alumno153,Test153,alumno153_18881@test.com,20211015,2002-02-03,M,Soltero,Orizaba,IINF,80.8,2,5,1,1,0,0
2165,alumno154_220323606851,Alumno154,Test154,alumno154_94166@test.com,20211015,2005-02-02,F,Soltero,Orizaba,IGE,92.6,1,4,0,3,0,0
2166,alumno155_220323607942,Alumno155,Test155,alumno155_11104@test.com,20211015,2001-02-03,M,Casado,Orizaba,IGE,71.4,7,6,1,1,0,0
2167,alumno156_220323608946,Alumno156,Test156,alumno156_51852@test.com,20211015,2008-02-02,F,Soltero,Orizaba,IGE,90.3,3,4,3,1,0,0
2168,alumno157_220323610041,Alumno157,Test157,alumno157_47594@test.com,20211015,2004-02-03,F,Soltero,Orizaba,ISC,71.3,4,8,0,2,0,0
2169,alumno158_220323611079,Alumno158,Test158,alumno158_49577@test.com,20211015,1998-02-04,F,Soltero,Orizaba,IGE,87.9,4,5,3,1,1,1
2170,alumno159_220323612079,Alumno159,Test159,alumno159_59623@test.com,20211015,2005-02-02,M,Casado,Orizaba,ISC,92.4,4,5,2,2,0,0
2171,alumno160_220323613078,Alumno160,Test160,alumno160_16064@test.com,20211015,2002-02-03,M,Soltero,Orizaba,ISC,79.0,3,8,1,2,0,1
2172,alumno161_220323615079,Alumno161,Test161,alumno161_67765@test.com,20211016,2006-02-02,F,Soltero,Orizaba,IINF,92.6,10,4,3,2,1,0
2173,alumno162_220323616080,Alumno162,Test162,alumno162_95933@test.com,20211016,2000-02-04,M,Soltero,Orizaba,IINF,94.2,8,8,0,0,1,0
2174,alumno163_220323617081,Alumno163,Test163,alumno163_98436@test.com,20211016,1999-02-04,M,Soltero,Orizaba,ICD,79.8,4,7,2,0,0,0
2175,alumno164_220323618082,Alumno164,Test164,alumno164_63716@test.com,20211016,2004-02-03,M,Casado,Orizaba,ISC,74.7,2,8,1,2,0,1
2176,alumno165_220323620081,Alumno165,Test165,alumno165_21043@test.com,20211016,2004-02-03,F,Soltero,Orizaba,IGE,79.6,1,6,1,3,0,1
2177,alumno166_220323622083,Alumno166,Test166,alumno166_24870@test.com,20211016,2008-02-02,F,Soltero,Orizaba,ISC,77.6,5,8,0,0,1,0
2178,alumno167_220323628418,Alumno167,Test167,alumno167_55120@test.com,20211016,2008-02-02,M,Soltero,Orizaba,IINF,82.5,2,7,1,3,0,0
2179,alumno168_220323631418,Alumno168,Test168,alumno168_24079@test.com,20211016,2000-02-04,F,Soltero,Orizaba,ICD,71.6,6,5,1,2,0,0
2180,alumno169_220323633419,Alumno169,Test169,alumno169_48763@test.com,20211016,2007-02-02,M,Soltero,Orizaba,ICD,78.5,9,8,2,0,0,0
2181,alumno170_220323634419,Alumno170,Test170,alumno170_60254@test.com,20211016,2005-02-02,F,Soltero,Orizaba,ISC,79.4,9,5,3,3,0,0
2182,alumno171_220323636420,Alumno171,Test171,alumno171_79544@test.com,20211017,2004-02-03,M,Soltero,Orizaba,ISC,77.9,8,4,3,1,0,1
2183,alumno172_220323638420,Alumno172,Test172,alumno172_95559@test.com,20211017,2005-02-02,F,Casado,Orizaba,IINF,80.6,3,6,1,2,0,0
2184,alumno173_220323647657,Alumno173,Test173,alumno173_96024@test.com,20211017,2008-02-02,F,Soltero,Orizaba,ICD,80.3,10,7,1,1,1,0
2185,alumno174_220323649748,Alumno174,Test174,alumno174_95749@test.com,20211017,2003-02-03,M,Soltero,Orizaba,ICD,89.0,8,4,2,3,0,0
2186,alumno175_220323650754,Alumno175,Test175,alumno175_22072@test.com,20211017,2008-02-02,F,Soltero,Orizaba,ISC,71.0,2,4,2,0,0,1
