carrera,promedio_anterior,semestre,materias,transporte,trabajo,beca,sexo,edad,estado_civil,carrera_cod,sexo_cod,estado_civil_cod,suma_ansiedad,nivel_ansiedad
ICD,74.4,7,7,1,0,0,M,20,Soltero,0,0,1,5,Bajo
ISC,88.2,8,4,1,0,0,F,20,Soltero,3,1,1,10,Alto
IINF,91.7,5,7,1,0,0,M,25,Soltero,2,0,1,2,Bajo
IINF,91.3,5,6,3,1,0,F,28,Soltero,2,1,1,0,Bajo
ISC,70.7,3,7,1,1,1,M,26,Soltero,3,0,1,2,Bajo
ICD,94.8,7,5,3,0,0,M,18,Soltero,0,0,1,5,Bajo
ISC,70.4,5,8,3,0,0,M,19,Casado,3,0,0,1,Bajo
ICD,70.5,2,7,3,0,0,M,25,Casado,0,0,0,7,Medio
ISC,76.4,10,5,0,0,0,F,20,Soltero,3,1,1,3,Bajo
IGE,80.8,8,6,2,0,1,F,22,Soltero,1,1,1,2,Bajo
ICD,73.4,5,6,2,1,0,F,19,Soltero,0,1,1,5,Bajo
ICD,76.5,7,6,1,0,0,F,19,Soltero,0,1,1,0,Bajo
IGE,93.1,5,8,2,0,0,M,20,Casado,1,0,0,1,Bajo
IGE,73.3,5,4,3,1,0,M,20,Casado,1,0,0,5,Bajo
ISC,88.2,10,4,2,0,0,F,28,Soltero,3,1,1,5,Bajo
IINF,94.0,2,6,3,0,0,F,24,Casado,2,1,0,1,Bajo
IINF,71.5,4,8,3,0,0,M,20,Soltero,2,0,1,5,Bajo
IGE,72.7,8,5,1,0,0,M,21,Casado,1,0,0,6,Medio
ICD,72.1,2,8,3,0,0,M,19,Soltero,0,0,1,6,Medio
ISC,80.3,1,8,1,1,0,M,27,Soltero,3,0,1,5,Bajo
IINF,72.1,8,7,3,0,0,F,26,Soltero,2,1,1,5,Bajo
ICD,92.8,8,7,0,1,0,F,21,Soltero,0,1,1,4,Bajo
ISC,92.1,10,5,1,0,0,M,20,Soltero,3,0,1,1,Bajo
ISC,86.2,7,4,0,1,0,M,24,Casado,3,0,0,2,Bajo
IGE,85.4,2,8,1,0,0,F,18,Soltero,1,1,1,2,Bajo
ISC,72.3,9,5,0,0,0,M,23,Casado,3,0,0,2,Bajo
IGE,88.9,10,6,2,0,0,F,24,Soltero,1,1,1,4,Bajo
IINF,75.3,4,8,3,1,0,F,25,Casado,2,1,0,0,Bajo
ISC,79.6,6,4,1,0,0,F,22,Soltero,3,1,1,0,Bajo
ISC,88.5,5,8,3,1,1,F,21,Casado,3,1,0,5,Bajo
ICD,73.7,10,8,2,1,0,F,25,Soltero,0,1,1,0,Bajo
IGE,86.8,5,5,2,1,0,F,26,Soltero,1,1,1,0,Bajo
ISC,86.4,6,7,1,0,0,F,19,Soltero,3,1,1,4,Bajo
ICD,87.4,5,6,3,0,1,M,25,Soltero,0,0,1,5,Bajo
ISC,93.3,2,7,0,0,1,F,18,Soltero,3,1,1,5,Bajo
IGE,93.0,2,4,0,1,1,F,19,Soltero,1,1,1,1,Bajo
ISC,79.2,9,7,0,1,0,M,20,Soltero,3,0,1,1,Bajo
ICD,82.9,10,7,1,0,0,F,28,Casado,0,1,0,4,Bajo
IGE,84.3,8,5,2,0,0,M,26,Casado,1,0,0,3,Bajo
ICD,79.9,10,8,3,0,0,F,28,Soltero,0,1,1,1,Bajo
IINF,83.7,2,6,1,0,1,M,21,Soltero,2,0,1,4,Bajo
IINF,86.1,9,8,0,0,1,F,26,Soltero,2,1,1,3,Bajo
ICD,72.1,2,7,0,0,0,F,19,Soltero,0,1,1,6,Medio
ISC,82.8,3,4,1,0,0,M,23,Soltero,3,0,1,0,Bajo
IGE,83.8,5,8,0,0,0,M,21,Casado,1,0,0,0,Bajo
ISC,83.8,10,7,1,0,0,M,27,Soltero,3,0,1,0,Bajo
IGE,86.0,2,7,0,1,0,M,24,Soltero,1,0,1,3,Bajo
IGE,84.3,10,6,1,1,1,F,21,Casado,1,1,0,3,Bajo
ICD,81.2,2,6,1,1,0,M,19,Soltero,0,0,1,1,Bajo
IGE,78.6,5,8,2,1,0,F,27,Casado,1,1,0,10,Alto
IINF,86.0,6,5,0,1,0,F,21,Soltero,2,1,1,0,Bajo
ICD,94.9,5,4,0,0,1,F,20,Soltero,0,1,1,2,Bajo
ICD,71.3,9,7,3,1,0,M,28,Soltero,0,0,1,1,Bajo
IINF,94.6,9,5,2,0,0,F,18,Soltero,2,1,1,4,Bajo
IGE,83.9,9,7,1,0,0,M,21,Soltero,1,0,1,1,Bajo
IGE,92.3,6,5,1,0,0,M,21,Soltero,1,0,1,0,Bajo
ISC,76.6,5,7,0,1,0,M,28,Casado,3,0,0,0,Bajo
ISC,70.2,3,7,2,0,0,M,21,Soltero,3,0,1,2,Bajo
ICD,87.8,9,4,2,1,0,M,25,Soltero,0,0,1,4,Bajo
IGE,81.2,1,5,2,0,0,M,23,Casado,1,0,0,3,Bajo
IGE,86.9,8,6,1,1,0,M,19,Casado,1,0,0,5,Bajo
IGE,81.2,9,4,2,1,0,F,27,Soltero,1,1,1,4,Bajo
ICD,70.8,8,8,3,0,0,F,19,Soltero,0,1,1,2,Bajo
ICD,75.1,10,5,3,0,1,F,19,Soltero,0,1,1,7,Medio
IINF,73.7,3,4,1,0,0,M,23,Soltero,2,0,1,10,Alto
ISC,70.8,8,8,3,0,0,F,28,Soltero,3,1,1,5,Bajo
ISC,78.6,1,4,3,1,0,F,28,Soltero,3,1,1,0,Bajo
ISC,70.6,5,6,2,1,0,M,24,Soltero,3,0,1,1,Bajo
IINF,72.6,5,6,0,0,0,M,27,Soltero,2,0,1,2,Bajo
IINF,87.6,9,5,2,1,0,M,20,Soltero,2,0,1,3,Bajo
ISC,72.7,9,8,2,0,0,F,18,Soltero,3,1,1,5,Bajo
ISC,70.5,4,7,1,1,0,M,21,Soltero,3,0,1,4,Bajo
IINF,72.5,1,8,1,0,0,F,23,Soltero,2,1,1,4,Bajo
ICD,92.3,3,8,3,1,0,M,22,Soltero,0,0,1,6,Medio
IINF,94.7,7,8,0,1,0,M,19,Casado,2,0,0,1,Bajo
ISC,91.8,10,8,0,0,0,F,27,Casado,3,1,0,1,Bajo
IGE,90.2,10,5,0,1,1,F,21,Soltero,1,1,1,9,Alto
ISC,84.1,6,5,1,1,0,M,24,Soltero,3,0,1,2,Bajo
ISC,88.7,10,6,3,1,0,M,19,Soltero,3,0,1,0,Bajo
IINF,77.9,3,5,0,0,1,M,27,Soltero,2,0,1,3,Bajo
IINF,74.5,8,5,3,0,0,M,24,Soltero,2,0,1,6,Medio
IINF,92.3,1,6,1,0,1,M,21,Soltero,2,0,1,0,Bajo
IGE,82.6,8,4,0,0,0,M,21,Soltero,1,0,1,7,Medio
IGE,84.8,5,4,0,1,0,F,23,Soltero,1,1,1,3,Bajo
IINF,88.2,10,8,2,0,0,F,24,Soltero,2,1,1,0,Bajo
IGE,73.4,10,8,2,0,0,F,22,Soltero,1,1,1,6,Medio
ICD,79.2,4,7,2,0,1,F,20,Soltero,0,1,1,0,Bajo
IGE,79.7,9,6,2,0,0,M,22,Soltero,1,0,1,2,Bajo
ISC,87.6,4,6,1,0,1,F,20,Soltero,3,1,1,0,Bajo
ICD,92.3,7,5,3,0,0,M,27,Soltero,0,0,1,1,Bajo
ISC,71.2,10,6,3,0,0,M,27,Casado,3,0,0,7,Medio
IGE,85.0,10,6,0,0,1,F,25,Soltero,1,1,1,1,Bajo
IGE,90.6,9,4,2,0,0,F,25,Soltero,1,1,1,0,Bajo
ICD,75.1,4,4,2,1,0,F,26,Casado,0,1,0,0,Bajo
IINF,94.0,1,6,2,0,0,M,19,Casado,2,0,0,4,Bajo
IINF,70.3,1,4,0,0,0,M,26,Casado,2,0,0,0,Bajo
IGE,94.2,10,7,0,1,0,F,26,Soltero,1,1,1,1,Bajo
IGE,83.7,3,5,3,1,0,M,21,Casado,1,0,0,4,Bajo
IINF,84.0,2,4,3,1,1,M,28,Soltero,2,0,1,3,Bajo
IINF,80.8,2,5,1,0,0,M,24,Soltero,2,0,1,6,Medio
IGE,92.6,1,4,0,0,0,F,21,Soltero,1,1,1,7,Medio
IGE,71.4,7,6,1,0,0,M,25,Casado,1,0,0,7,Medio
IGE,90.3,3,4,3,0,0,F,18,Soltero,1,1,1,10,Alto
ISC,71.3,4,8,0,0,0,F,22,Soltero,3,1,1,7,Medio
IGE,87.9,4,5,3,1,1,F,28,Soltero,1,1,1,3,Bajo
ISC,92.4,4,5,2,0,0,M,21,Casado,3,0,0,2,Bajo
ISC,79.0,3,8,1,0,1,M,24,Soltero,3,0,1,1,Bajo
IINF,92.6,10,4,3,1,0,F,20,Soltero,2,1,1,6,Medio
IINF,94.2,8,8,0,1,0,M,26,Soltero,2,0,1,0,Bajo
ICD,79.8,4,7,2,0,0,M,27,Soltero,0,0,1,5,Bajo
ISC,74.7,2,8,1,0,1,M,22,Casado,3,0,0,4,Bajo
IGE,79.6,1,6,1,0,1,F,22,Soltero,1,1,1,10,Alto
ISC,77.6,5,8,0,1,0,F,18,Soltero,3,1,1,0,Bajo
IINF,82.5,2,7,1,0,0,M,18,Soltero,2,0,1,2,Bajo
ICD,71.6,6,5,1,0,0,F,26,Soltero,0,1,1,6,Medio
ICD,78.5,9,8,2,0,0,M,19,Soltero,0,0,1,2,Bajo
ISC,79.4,9,5,3,0,0,F,21,Soltero,3,1,1,1,Bajo
ISC,77.9,8,4,3,0,1,M,22,Soltero,3,0,1,1,Bajo
IINF,80.6,3,6,1,0,0,F,21,Casado,2,1,0,1,Bajo
ICD,80.3,10,7,1,1,0,F,18,Soltero,0,1,1,3,Bajo
ICD,89.0,8,4,2,0,0,M,23,Soltero,0,0,1,3,Bajo
ISC,71.0,2,4,2,0,1,F,18,Soltero,3,1,1,6,Medio
IINF,94.6,8,7,3,0,1,F,23,Soltero,2,1,1,0,Bajo
ISC,91.1,8,5,0,1,0,F,20,Soltero,3,1,1,0,Bajo
IINF,89.6,5,7,1,0,1,M,20,Soltero,2,0,1,5,Bajo
IGE,83.0,6,7,3,0,1,M,25,Soltero,1,0,1,1,Bajo
ICD,91.7,8,5,1,0,1,F,20,Soltero,0,1,1,9,Alto
ICD,82.7,5,7,0,1,0,M,28,Soltero,0,0,1,1,Bajo
ICD,74.2,1,7,1,1,0,F,19,Soltero,0,1,1,1,Bajo
ISC,80.4,7,8,1,1,0,M,19,Casado,3,0,0,6,Medio
ISC,78.3,7,5,3,1,1,M,20,Soltero,3,0,1,7,Medio
ICD,85.8,5,4,0,1,0,F,28,Soltero,0,1,1,1,Bajo
ICD,72.9,3,4,2,0,0,M,28,Casado,0,0,0,3,Bajo
ISC,84.1,2,8,1,0,0,M,27,Soltero,3,0,1,1,Bajo
IGE,89.2,1,6,3,0,0,F,25,Soltero,1,1,1,1,Bajo
IINF,70.5,4,4,0,0,0,M,18,Soltero,2,0,1,3,Bajo
ICD,85.2,7,8,0,0,0,M,20,Soltero,0,0,1,3,Bajo
ICD,93.7,4,5,0,1,0,F,25,Soltero,0,1,1,4,Bajo
IINF,72.3,2,7,0,0,0,F,23,Casado,2,1,0,1,Bajo
IINF,91.5,7,7,1,0,0,M,27,Soltero,2,0,1,0,Bajo
ICD,77.4,8,4,3,0,0,F,28,Casado,0,1,0,0,Bajo
IGE,73.7,4,5,3,0,0,M,18,Soltero,1,0,1,7,Medio
ICD,94.6,5,5,2,0,0,F,28,Soltero,0,1,1,7,Medio
IGE,84.3,8,7,2,0,1,F,25,Soltero,1,1,1,4,Bajo
IGE,73.2,8,6,1,0,1,M,28,Soltero,1,0,1,6,Medio
IINF,78.1,4,6,2,0,0,M,28,Casado,2,0,0,2,Bajo
ICD,78.3,9,8,3,0,0,F,27,Soltero,0,1,1,2,Bajo
ISC,89.1,2,7,1,0,0,F,19,Soltero,3,1,1,4,Bajo
IGE,93.2,7,4,2,1,0,M,26,Soltero,1,0,1,2,Bajo
ISC,86.5,3,7,3,1,0,F,28,Soltero,3,1,1,2,Bajo
ICD,74.4,3,8,2,0,0,M,28,Soltero,0,0,1,9,Alto
ICD,81.5,10,7,0,0,0,M,21,Soltero,0,0,1,7,Medio
IINF,89.0,9,4,0,0,0,F,23,Soltero,2,1,1,2,Bajo
IGE,92.4,8,6,1,0,0,F,22,Soltero,1,1,1,1,Bajo
IGE,82.7,8,8,3,1,0,M,18,Soltero,1,0,1,10,Alto
IINF,85.3,4,4,2,0,0,M,18,Soltero,2,0,1,0,Bajo
IINF,81.5,7,4,2,0,0,M,22,Soltero,2,0,1,2,Bajo
ICD,76.1,2,8,0,0,0,F,26,Soltero,0,1,1,7,Medio
IGE,80.4,5,4,2,0,0,M,20,Soltero,1,0,1,3,Bajo
ISC,76.8,8,6,0,0,1,M,25,Soltero,3,0,1,4,Bajo
IGE,82.4,10,5,1,0,1,F,27,Soltero,1,1,1,8,Alto
ISC,88.4,6,7,2,0,0,F,21,Soltero,3,1,1,0,Bajo
ISC,85.1,7,6,3,0,0,F,26,Soltero,3,1,1,6,Medio
IINF,72.1,6,7,0,1,0,M,19,Soltero,2,0,1,3,Bajo
ISC,74.1,9,6,2,1,0,M,22,Soltero,3,0,1,4,Bajo
IINF,86.0,7,8,2,1,0,F,28,Soltero,2,1,1,0,Bajo
IINF,92.8,6,6,1,0,1,M,18,Casado,2,0,0,9,Alto
IGE,79.6,7,7,3,0,0,M,28,Soltero,1,0,1,9,Alto
IINF,94.0,1,5,2,1,0,M,19,Casado,2,0,0,3,Bajo
ISC,93.1,6,6,0,0,0,F,23,Soltero,3,1,1,6,Medio
IGE,78.4,5,7,1,0,0,F,20,Casado,1,1,0,2,Bajo
ICD,77.1,8,5,0,1,1,F,24,Soltero,0,1,1,7,Medio
ISC,83.7,5,5,1,1,1,F,24,Soltero,3,1,1,1,Bajo
ISC,72.7,5,4,2,1,0,M,24,Soltero,3,0,1,0,Bajo
ISC,92.3,9,5,3,1,1,F,23,Soltero,3,1,1,7,Medio
IGE,94.5,1,6,3,0,0,F,25,Casado,1,1,0,3,Bajo
ISC,88.8,8,8,0,0,1,M,20,Soltero,3,0,1,5,Bajo
IINF,82.1,4,7,2,1,0,M,19,Soltero,2,0,1,1,Bajo
ISC,79.4,3,7,2,1,0,M,18,Soltero,3,0,1,4,Bajo
ISC,87.9,8,6,3,0,1,F,18,Soltero,3,1,1,5,Bajo
IINF,92.9,7,7,1,1,1,M,20,Soltero,2,0,1,3,Bajo
ICD,84.2,4,6,0,0,0,M,19,Soltero,0,0,1,5,Bajo
ISC,70.1,4,7,1,0,0,M,25,Soltero,3,0,1,1,Bajo
IINF,84.1,4,8,0,0,0,M,19,Soltero,2,0,1,1,Bajo
IGE,71.5,5,7,1,0,0,F,24,Casado,1,1,0,5,Bajo
IINF,88.1,1,7,3,0,0,M,20,Soltero,2,0,1,2,Bajo
IINF,93.7,7,8,2,1,0,F,19,Casado,2,1,0,3,Bajo
ICD,92.6,4,6,1,0,0,F,26,Casado,0,1,0,10,Alto
IGE,92.6,10,6,1,0,0,M,23,Soltero,1,0,1,1,Bajo
IGE,93.6,6,7,2,0,1,M,18,Soltero,1,0,1,6,Medio
ICD,83.7,4,4,3,1,0,M,26,Casado,0,0,0,4,Bajo
ICD,76.0,2,5,2,0,0,M,19,Soltero,0,0,1,2,Bajo
IINF,86.5,6,7,0,0,0,M,25,Soltero,2,0,1,2,Bajo
ISC,89.0,1,7,3,0,0,F,24,Soltero,3,1,1,9,Alto
ICD,75.9,1,4,1,0,0,F,20,Casado,0,1,0,6,Medio
IGE,84.7,1,5,2,0,0,M,26,Soltero,1,0,1,7,Medio
IGE,77.8,10,7,1,0,0,F,24,Soltero,1,1,1,1,Bajo
ISC,86.9,4,8,0,0,0,F,18,Casado,3,1,0,1,Bajo
ISC,79.2,5,4,1,0,1,M,19,Soltero,3,0,1,0,Bajo
IGE,71.0,10,8,1,0,0,M,25,Casado,1,0,0,9,Alto
ICD,77.7,10,4,3,0,0,F,18,Soltero,0,1,1,8,Alto
ISC,76.5,5,4,2,1,1,F,20,Soltero,3,1,1,9,Alto
IINF,84.8,5,4,2,0,0,F,18,Soltero,2,1,1,2,Bajo
IGE,88.3,7,6,1,1,0,M,28,Soltero,1,0,1,7,Medio
ICD,94.8,5,6,0,0,0,F,19,Soltero,0,1,1,2,Bajo
IINF,89.8,9,5,1,0,0,M,28,Soltero,2,0,1,1,Bajo
ICD,75.7,4,6,1,1,0,F,28,Casado,0,1,0,6,Medio
ISC,87.8,8,4,0,0,1,F,20,Soltero,3,1,1,0,Bajo
IINF,92.2,9,8,2,0,0,F,18,Casado,2,1,0,7,Medio
ICD,90.5,8,8,3,1,0,F,19,Casado,0,1,0,8,Alto
IINF,91.7,6,8,2,1,0,F,23,Soltero,2,1,1,2,Bajo
ICD,70.1,3,7,0,0,0,F,21,Soltero,0,1,1,5,Bajo
IGE,87.7,6,5,1,0,0,M,27,Casado,1,0,0,3,Bajo
ISC,72.1,8,5,2,1,0,F,25,Soltero,3,1,1,0,Bajo
ISC,93.9,4,8,0,0,1,F,28,Soltero,3,1,1,1,Bajo
ISC,84.1,6,5,1,1,1,M,19,Soltero,3,0,1,0,Bajo
ICD,75.5,9,6,0,1,0,M,28,Soltero,0,0,1,1,Bajo
IGE,81.7,2,6,3,0,0,F,18,Casado,1,1,0,1,Bajo
ISC,78.6,10,4,0,0,1,F,26,Soltero,3,1,1,5,Bajo
ISC,76.7,2,8,0,1,0,F,26,Soltero,3,1,1,2,Bajo
IINF,83.2,4,8,0,1,0,F,27,Soltero,2,1,1,3,Bajo
ICD,91.3,9,5,2,0,0,F,28,Casado,0,1,0,1,Bajo
ICD,87.1,3,7,2,0,0,M,25,Soltero,0,0,1,1,Bajo
IGE,79.3,2,8,1,0,0,F,19,Soltero,1,1,1,4,Bajo
ISC,88.6,1,7,2,1,1,F,23,Soltero,3,1,1,3,Bajo
IGE,71.9,7,7,1,0,0,F,21,Soltero,1,1,1,4,Bajo
IINF,82.5,4,6,1,0,0,M,18,Soltero,2,0,1,5,Bajo
ICD,90.9,4,4,2,0,0,M,18,Soltero,0,0,1,1,Bajo
ICD,93.2,2,6,1,0,0,F,25,Soltero,0,1,1,7,Medio
ICD,91.9,3,6,2,1,0,M,27,Soltero,0,0,1,5,Bajo
ICD,77.2,10,6,2,0,1,F,26,Soltero,0,1,1,7,Medio
IGE,75.0,10,5,1,0,1,M,28,Casado,1,0,0,7,Medio
ICD,80.9,6,4,2,1,0,F,21,Soltero,0,1,1,2,Bajo
IGE,78.0,5,5,0,1,0,F,26,Soltero,1,1,1,9,Alto
IINF,84.3,10,8,3,0,1,M,26,Soltero,2,0,1,4,Bajo
ICD,85.2,10,5,1,1,0,M,21,Casado,0,0,0,2,Bajo
ICD,84.5,3,7,3,1,0,M,26,Soltero,0,0,1,4,Bajo
ISC,94.1,1,5,0,0,1,F,20,Soltero,3,1,1,4,Bajo
ISC,79.9,2,8,3,1,0,F,21,Casado,3,1,0,9,Alto
IGE,82.2,10,5,2,0,0,F,27,Soltero,1,1,1,7,Medio
IINF,77.4,8,7,3,0,0,M,23,Soltero,2,0,1,3,Bajo
IINF,73.9,3,4,3,0,1,M,19,Soltero,2,0,1,6,Medio
ISC,87.0,6,6,1,0,1,M,22,Soltero,3,0,1,2,Bajo
ISC,73.3,8,6,0,0,0,F,28,Soltero,3,1,1,2,Bajo
ISC,80.8,8,4,3,0,0,M,19,Casado,3,0,0,4,Bajo
IGE,92.5,8,4,0,1,0,F,26,Soltero,1,1,1,1,Bajo
ISC,87.1,10,5,2,0,0,M,26,Soltero,3,0,1,7,Medio
ISC,89.5,8,8,2,0,1,M,27,Soltero,3,0,1,1,Bajo
ISC,74.3,5,6,0,0,0,F,22,Soltero,3,1,1,3,Bajo
IGE,70.9,4,5,2,0,0,F,28,Casado,1,1,0,5,Bajo
IGE,75.1,1,8,3,0,0,F,21,Soltero,1,1,1,3,Bajo
ISC,78.4,8,6,0,0,0,M,28,Soltero,3,0,1,5,Bajo
IINF,78.7,9,7,0,0,1,F,21,Casado,2,1,0,4,Bajo
IINF,79.9,7,5,1,0,0,F,25,Soltero,2,1,1,4,Bajo
IGE,84.1,7,6,1,0,0,F,26,Soltero,1,1,1,0,Bajo
IGE,78.7,3,8,1,0,0,F,22,Soltero,1,1,1,1,Bajo
ISC,85.2,10,6,3,0,1,M,21,Casado,3,0,0,10,Alto
IGE,91.2,5,5,3,1,0,F,20,Soltero,1,1,1,6,Medio
ICD,90.4,3,5,3,1,0,M,27,Soltero,0,0,1,1,Bajo
ICD,94.9,3,6,2,0,0,M,22,Soltero,0,0,1,0,Bajo
IINF,74.1,10,4,3,0,1,M,26,Soltero,2,0,1,3,Bajo
IGE,73.5,8,7,2,0,0,F,23,Soltero,1,1,1,1,Bajo
IGE,84.9,4,5,0,0,0,M,24,Soltero,1,0,1,2,Bajo
ISC,90.6,9,5,1,0,0,F,20,Casado,3,1,0,0,Bajo
IGE,80.6,4,6,3,1,0,F,19,Casado,1,1,0,4,Bajo
ICD,83.3,5,6,2,0,0,F,19,Soltero,0,1,1,7,Medio
IGE,94.5,8,6,1,1,0,F,25,Casado,1,1,0,0,Bajo
ICD,87.2,4,5,2,0,0,M,26,Soltero,0,0,1,8,Alto
IINF,77.5,7,4,1,0,0,F,23,Soltero,2,1,1,1,Bajo
ISC,85.7,4,5,3,0,1,M,25,Soltero,3,0,1,3,Bajo
IGE,82.6,4,8,3,0,0,M,23,Soltero,1,0,1,10,Alto
ICD,76.6,5,4,1,0,0,F,20,Soltero,0,1,1,0,Bajo
IINF,91.7,1,8,3,0,0,F,25,Soltero,2,1,1,5,Bajo
IINF,82.1,2,7,2,0,1,F,23,Soltero,2,1,1,3,Bajo
IGE,79.7,9,4,0,0,0,M,26,Casado,1,0,0,0,Bajo
ISC,89.4,7,8,0,0,0,M,23,Casado,3,0,0,9,Alto
ICD,90.0,3,6,3,0,0,F,19,Soltero,0,1,1,4,Bajo
ISC,80.0,4,4,1,1,0,M,24,Casado,3,0,0,5,Bajo
IGE,91.9,3,6,2,0,0,M,27,Soltero,1,0,1,5,Bajo
IINF,71.8,3,4,2,0,0,F,20,Soltero,2,1,1,7,Medio
ICD,72.6,9,4,1,0,1,F,18,Soltero,0,1,1,2,Bajo
ICD,81.0,6,5,1,0,0,M,18,Soltero,0,0,1,5,Bajo
ICD,90.1,7,6,3,0,0,M,18,Soltero,0,0,1,2,Bajo
ICD,71.8,6,6,3,1,0,F,26,Soltero,0,1,1,0,Bajo
ICD,93.7,3,8,1,1,0,F,18,Casado,0,1,0,7,Medio
IGE,80.5,1,6,0,1,0,M,27,Soltero,1,0,1,2,Bajo
ICD,92.9,4,6,0,0,1,M,20,Casado,0,0,0,2,Bajo
IGE,84.4,3,5,1,1,0,F,19,Soltero,1,1,1,4,Bajo
IGE,80.3,7,4,3,0,1,M,21,Soltero,1,0,1,3,Bajo
ISC,89.6,6,8,1,1,0,F,21,Soltero,3,1,1,3,Bajo
ISC,78.9,9,5,3,0,0,F,19,Casado,3,1,0,2,Bajo
ISC,76.1,5,8,2,0,0,M,23,Soltero,3,0,1,5,Bajo
IINF,70.7,8,4,0,1,0,F,18,Soltero,2,1,1,6,Medio
ICD,85.4,1,8,2,0,1,F,24,Soltero,0,1,1,9,Alto
ICD,79.1,6,7,1,0,0,M,19,Soltero,0,0,1,0,Bajo
ISC,91.5,1,4,1,1,0,M,22,Soltero,3,0,1,4,Bajo
